Coluna;Ano
Município;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;Total
Rr-Iracema;0;0;0;0;0;17;23;34;68;30;30;53;25;74;41;50;10;6;0;3;464
Rr-Mucajai;0;1;14;9;9;1;0;1;2;2;0;1;1;1;0;0;0;0;1;6;49
Rr-Normandia;14;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17
Rr-Pacaraima;9;42;8;10;3;32;0;0;1;2;9;11;14;33;8;14;5;0;1;1;203
Rr-Rorainopolis;60;12;12;36;65;4;13;29;33;55;286;190;7;22;5;4;1;7;1;4;846
Rr-Sao Joao da Baliza;13;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;6;0;13;36
Rr-Sao Luiz;4;0;0;0;2;10;2;0;1;3;9;2;3;2;1;2;0;0;3;2;46
Rr-Uiramuta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rr-Ignorado;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Abaetetuba;27;52;83;100;104;95;183;289;123;155;153;126;262;233;223;300;190;147;83;325;3253
Pa-Abel Figueiredo;18;16;0;0;4;4;16;24;113;5;8;0;11;0;0;0;0;0;0;0;219
Pa-Acara;3;2;2;3;4;34;28;13;2;11;27;15;9;0;0;0;0;0;0;0;153
Pa-Afua;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
Pa-Agua Azul do Norte;0;0;0;0;0;0;0;16;1;1;0;2;3;2;2;2;0;0;0;0;29
Pa-Alenquer;6;5;5;0;14;9;17;30;61;13;28;71;0;0;1;3;1;0;0;0;264
Pa-Almeirim;93;346;313;306;267;362;93;459;1408;1783;510;215;180;262;569;460;465;783;524;349;9747
Pa-Altamira;629;488;2680;4111;2873;6075;14279;30196;27041;14956;5852;893;244;411;642;203;162;122;133;150;112140
Pa-Anajas;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;4;16
Pa-Ananindeua;4907;4469;5499;5551;7149;6568;6894;10931;6042;8448;7428;6602;5717;4716;3509;3792;2795;2589;2163;2182;107951
Pa-Anapu;6;0;0;49;136;70;14;60;20;12;22;43;13;10;0;0;0;0;17;6;478
Pa-Augusto Correa;15;2;14;10;20;5;26;20;2;1;1;0;0;0;0;3;0;0;0;0;119
Pa-Aurora do Para;0;0;0;2;3;2;0;2;0;3;2;0;0;0;0;0;0;0;0;0;14
Pa-Aveiro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;3
Pa-Bagre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Baiao;3;0;0;0;8;12;0;0;0;0;0;0;0;0;5;0;2;2;2;1;35
Pa-Bannach;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Barcarena;6554;5056;5445;6065;4003;3624;5353;3743;2849;2563;4570;2360;2652;2989;8689;4172;4749;4079;1254;2297;83066
