Município;Total
MA-SAO FRANCISCO DO MARANHAO;537
MA-SAO JOAO BATISTA;55
MA-SAO JOAO DO CARU;248
MA-SAO JOAO DO PARAISO;672
MA-SAO JOAO DO SOTER;434
MA-SAO JOAO DOS PATOS;2120
MA-SAO JOSE DE RIBAMAR;18097
MA-SAO JOSE DOS BASILIOS;19
MA-SAO LUIS;331233
MA-SAO LUIS GONZAGA DO MARANHAO;778
MA-SAO MATEUS DO MARANHAO;1906
MA-SAO PEDRO DA AGUA BRANCA;196
MA-SAO PEDRO DOS CRENTES;278
MA-SAO RAIMUNDO DAS MANGABEIRAS;3101
MA-SAO RAIMUNDO DO DOCA BEZERRA;260
MA-SAO ROBERTO;3
MA-SAO VICENTE FERRER;78
MA-SATUBINHA;463
MA-SENADOR ALEXANDRE COSTA;460
MA-SENADOR LA ROCQUE;940
MA-SERRANO DO MARANHAO;537
MA-SITIO NOVO;958
MA-SUCUPIRA DO NORTE;406
MA-SUCUPIRA DO RIACHAO;228
MA-TASSO FRAGOSO;1611
MA-TIMBIRAS;849
MA-TIMON;10464
MA-TRIZIDELA DO VALE;1466
MA-TUFILANDIA;293
MA-TUNTUM;1181
MA-TURIACU;1377
MA-TURILANDIA;356
MA-TUTOIA;4202
MA-URBANO SANTOS;2296
MA-VARGEM GRANDE;1981
MA-VIANA;1977
MA-VILA NOVA DOS MARTIRIOS;1761
MA-VITORIA DO MEARIM;2069
MA-VITORINO FREIRE;1466
MA-ZE DOCA;1044
MA-IGNORADO;0
PI-ACAUA;299
PI-AGRICOLANDIA;33
PI-AGUA BRANCA;1546
PI-ALAGOINHA DO PIAUI;252
PI-ALEGRETE DO PIAUI;233
PI-ALTO LONGA;762
PI-ALTOS;2865
PI-ALVORADA DO GURGUEIA;319
PI-AMARANTE;291
PI-ANGICAL DO PIAUI;364
PI-ANISIO DE ABREU;571
PI-ANTONIO ALMEIDA;296
PI-AROAZES;373
PI-AROEIRAS DO ITAIM;183
PI-ARRAIAL;245
PI-ASSUNCAO DO PIAUI;401
PI-AVELINO LOPES;532
PI-BAIXA GRANDE DO RIBEIRO;1877
PI-BARRA D ALCANTARA;229
PI-BARRAS;2820
PI-BARREIRAS DO PIAUI;206
PI-BARRO DURO;304
PI-BATALHA;1141
PI-BELA VISTA DO PIAUI;196
PI-BELEM DO PIAUI;145
PI-BENEDITINOS;452
PI-BERTOLINIA;287
