Município;Total
MA-PIO XII;267
MA-PIRAPEMAS;7
MA-POCAO DE PEDRAS;421
MA-PORTO FRANCO;453
MA-PORTO RICO DO MARANHAO;42
MA-PRESIDENTE DUTRA;665
MA-PRESIDENTE JUSCELINO;177
MA-PRESIDENTE MEDICI;4
MA-PRESIDENTE SARNEY;119
MA-PRESIDENTE VARGAS;189
MA-PRIMEIRA CRUZ;57
MA-RAPOSA;373
MA-RIACHAO;91
MA-RIBAMAR FIQUENE;86
MA-ROSARIO;1172
MA-SAMBAIBA;63
MA-SANTA FILOMENA DO MARANHAO;0
MA-SANTA HELENA;463
MA-SANTA INES;3420
MA-SANTA LUZIA;845
MA-SANTA LUZIA DO PARUA;161
MA-SANTA QUITERIA DO MARANHAO;185
MA-SANTA RITA;90
MA-SANTANA DO MARANHAO;9
MA-SANTO AMARO DO MARANHAO;0
MA-SANTO ANTONIO DOS LOPES;303
MA-SAO BENEDITO DO RIO PRETO;861
MA-SAO BENTO;402
MA-SAO BERNARDO;281
MA-SAO DOMINGOS DO AZEITAO;0
MA-SAO DOMINGOS DO MARANHAO;87
MA-SAO FELIX DE BALSAS;2
MA-SAO FRANCISCO DO BREJAO;3
MA-SAO FRANCISCO DO MARANHAO;78
MA-SAO JOAO BATISTA;6
MA-SAO JOAO DO CARU;4
MA-SAO JOAO DO PARAISO;8
MA-SAO JOAO DO SOTER;73
MA-SAO JOAO DOS PATOS;671
MA-SAO JOSE DE RIBAMAR;2752
MA-SAO JOSE DOS BASILIOS;4
MA-SAO LUIS;174974
MA-SAO LUIS GONZAGA DO MARANHAO;605
MA-SAO MATEUS DO MARANHAO;712
MA-SAO PEDRO DA AGUA BRANCA;17
MA-SAO PEDRO DOS CRENTES;0
MA-SAO RAIMUNDO DAS MANGABEIRAS;407
MA-SAO RAIMUNDO DO DOCA BEZERRA;76
MA-SAO ROBERTO;67
MA-SAO VICENTE FERRER;352
MA-SATUBINHA;31
MA-SENADOR ALEXANDRE COSTA;0
MA-SENADOR LA ROCQUE;0
MA-SERRANO DO MARANHAO;0
MA-SITIO NOVO;30
MA-SUCUPIRA DO NORTE;156
MA-SUCUPIRA DO RIACHAO;91
MA-TASSO FRAGOSO;212
MA-TIMBIRAS;550
MA-TIMON;4346
MA-TRIZIDELA DO VALE;175
MA-TUFILANDIA;32
MA-TUNTUM;156
MA-TURIACU;317
MA-TURILANDIA;0
MA-TUTOIA;1973
MA-URBANO SANTOS;177
MA-VARGEM GRANDE;552
MA-VIANA;612
MA-VILA NOVA DOS MARTIRIOS;141
MA-VITORIA DO MEARIM;436
MA-VITORINO FREIRE;562
MA-ZE DOCA;394
MA-IGNORADO;0
PI-ACAUA;0
PI-AGRICOLANDIA;139
PI-AGUA BRANCA;317
PI-ALAGOINHA DO PIAUI;147
PI-ALEGRETE DO PIAUI;107
PI-ALTO LONGA;408
PI-ALTOS;959
PI-ALVORADA DO GURGUEIA;106
PI-AMARANTE;329
PI-ANGICAL DO PIAUI;172
PI-ANISIO DE ABREU;24
PI-ANTONIO ALMEIDA;107
PI-AROAZES;209
PI-AROEIRAS DO ITAIM;0
PI-ARRAIAL;137
PI-ASSUNCAO DO PIAUI;36
PI-AVELINO LOPES;112
PI-BAIXA GRANDE DO RIBEIRO;294
PI-BARRA D ALCANTARA;72
PI-BARRAS;892
PI-BARREIRAS DO PIAUI;4
PI-BARRO DURO;302
PI-BATALHA;179
PI-BELA VISTA DO PIAUI;81
PI-BELEM DO PIAUI;5
PI-BENEDITINOS;203
PI-BERTOLINIA;82
PI-BETANIA DO PIAUI;0
PI-BOA HORA;85
PI-BOCAINA;130
PI-BOM JESUS;388
PI-BOM PRINCIPIO DO PIAUI;210
PI-BONFIM DO PIAUI;34
PI-BOQUEIRAO DO PIAUI;62
PI-BRASILEIRA;66
PI-BREJO DO PIAUI;0
PI-BURITI DOS LOPES;270
PI-BURITI DOS MONTES;95
PI-CABECEIRAS DO PIAUI;107
PI-CAJAZEIRAS DO PIAUI;43
PI-CAJUEIRO DA PRAIA;13
PI-CALDEIRAO GRANDE DO PIAUI;87
PI-CAMPINAS DO PIAUI;159
PI-CAMPO ALEGRE DO FIDALGO;0
PI-CAMPO GRANDE DO PIAUI;0
PI-CAMPO LARGO DO PIAUI;9
PI-CAMPO MAIOR;1032
PI-CANAVIEIRA;0
PI-CANTO DO BURITI;174
PI-CAPITAO DE CAMPOS;162
PI-CAPITAO GERVASIO OLIVEIRA;0
PI-CARACOL;3
PI-CARAUBAS DO PIAUI;93
PI-CARIDADE DO PIAUI;74
PI-CASTELO DO PIAUI;226
PI-CAXINGO;86
PI-COCAL;361
PI-COCAL DE TELHA;65
PI-COCAL DOS ALVES;75
PI-COIVARAS;85
PI-COLONIA DO GURGUEIA;112
PI-COLONIA DO PIAUI;7
PI-CONCEICAO DO CANINDE;133
PI-CORONEL JOSE DIAS;111
PI-CORRENTE;262
PI-CRISTALANDIA DO PIAUI;3
PI-CRISTINO CASTRO;136
PI-CURIMATA;188
PI-CURRAIS;0
PI-CURRALINHOS;22
PI-CURRAL NOVO DO PIAUI;17
PI-DEMERVAL LOBAO;324
PI-DIRCEU ARCOVERDE;76
PI-DOM EXPEDITO LOPES;183
PI-DOMINGOS MOURAO;104
PI-DOM INOCENCIO;80
PI-ELESBAO VELOSO;269
PI-ELISEU MARTINS;85
PI-ESPERANTINA;701
PI-FARTURA DO PIAUI;36
PI-FLORES DO PIAUI;41
PI-FLORESTA DO PIAUI;34
PI-FLORIANO;3000
