Município;Total;
TO-SAO VALERIO DA NATIVIDADE;150;
TO-SILVANOPOLIS;10;
TO-SITIO NOVO DO TOCANTINS;116;
TO-SUCUPIRA;56;
TO-TAGUATINGA;35;
TO-TAIPAS DO TOCANTINS;2;
TO-TALISMA;0;
TO-PALMAS;39673;
TO-TOCANTINIA;22;
TO-TOCANTINOPOLIS;323;
TO-TUPIRAMA;0;
TO-TUPIRATINS;67;
TO-WANDERLANDIA;255;
TO-XAMBIOA;177;
TO-IGNORADO;0;
MA-ACAILANDIA;5724;
MA-AFONSO CUNHA;2;
MA-AGUA DOCE DO MARANHAO;0;
MA-ALCANTARA;423;
MA-ALDEIAS ALTAS;206;
MA-ALTAMIRA DO MARANHAO;39;
MA-ALTO ALEGRE DO MARANHAO;0;
MA-ALTO ALEGRE DO PINDARE;0;
MA-ALTO PARNAIBA;83;
MA-AMAPA DO MARANHAO;0;
MA-AMARANTE DO MARANHAO;37;
MA-ANAJATUBA;14;
MA-ANAPURUS;45;
MA-APICUM-ACU;0;
MA-ARAGUANA;0;
MA-ARAIOSES;513;
MA-ARAME;44;
MA-ARARI;801;
MA-AXIXA;8;
MA-BACABAL;3584;
MA-BACABEIRA;0;
MA-BACURI;14;
MA-BACURITUBA;0;
MA-BALSAS;1890;
MA-BARAO DE GRAJAU;562;
MA-BARRA DO CORDA;1769;
MA-BARREIRINHAS;627;
MA-BELAGUA;0;
MA-BELA VISTA DO MARANHAO;0;
MA-BENEDITO LEITE;5;
MA-BEQUIMAO;541;
MA-BERNARDO DO MEARIM;0;
MA-BOA VISTA DO GURUPI;0;
MA-BOM JARDIM;135;
MA-BOM JESUS DAS SELVAS;0;
MA-BOM LUGAR;0;
MA-BREJO;231;
MA-BREJO DE AREIA;0;
MA-BURITI;29;
MA-BURITI BRAVO;38;
MA-BURITICUPU;0;
MA-BURITIRANA;0;
MA-CACHOEIRA GRANDE;0;
MA-CAJAPIO;277;
MA-CAJARI;4;
MA-CAMPESTRE DO MARANHAO;0;
MA-CANDIDO MENDES;140;
MA-CANTANHEDE;35;
MA-CAPINZAL DO NORTE;0;
MA-CAROLINA;933;
MA-CARUTAPERA;182;
MA-CAXIAS;4595;
MA-CEDRAL;5;
MA-CENTRAL DO MARANHAO;0;
MA-CENTRO DO GUILHERME;0;
MA-CENTRO NOVO DO MARANHAO;0;
MA-CHAPADINHA;1969;
MA-CIDELANDIA;0;
MA-CODO;3558;
MA-COELHO NETO;2110;
MA-COLINAS;522;
MA-CONCEICAO DO LAGO-ACU;0;
MA-COROATA;1625;
MA-CURURUPU;172;
MA-DAVINOPOLIS;0;
MA-DOM PEDRO;250;
MA-DUQUE BACELAR;241;
MA-ESPERANTINOPOLIS;68;
MA-ESTREITO;1084;
MA-FEIRA NOVA DO MARANHAO;0;
MA-FERNANDO FALCAO;0;
MA-FORMOSA DA SERRA NEGRA;0;
MA-FORTALEZA DOS NOGUEIRAS;353;
MA-FORTUNA;49;
MA-GODOFREDO VIANA;66;
MA-GONCALVES DIAS;17;
MA-GOVERNADOR ARCHER;49;
MA-GOVERNADOR EDISON LOBAO;0;
MA-GOVERNADOR EUGENIO BARROS;288;
MA-GOVERNADOR LUIZ ROCHA;0;
MA-GOVERNADOR NEWTON BELLO;0;
MA-GOVERNADOR NUNES FREIRE;0;
MA-GRACA ARANHA;4;
MA-GRAJAU;764;
MA-GUIMARAES;39;
MA-HUMBERTO DE CAMPOS;202;
MA-ICATU;12;
MA-IGARAPE DO MEIO;0;
MA-IGARAPE GRANDE;411;
MA-IMPERATRIZ;16929;
MA-ITAIPAVA DO GRAJAU;0;
MA-ITAPECURU MIRIM;1373;
MA-ITINGA DO MARANHAO;0;
MA-JATOBA;0;
MA-JENIPAPO DOS VIEIRAS;0;
MA-JOAO LISBOA;258;
MA-JOSELANDIA;14;
MA-JUNCO DO MARANHAO;0;
MA-LAGO DA PEDRA;289;
MA-LAGO DO JUNCO;11;
MA-LAGO VERDE;20;
MA-LAGOA DO MATO;0;
MA-LAGO DOS RODRIGUES;0;
MA-LAGOA GRANDE DO MARANHAO;0;
MA-LAJEADO NOVO;0;
MA-LIMA CAMPOS;267;
MA-LORETO;917;
MA-LUIS DOMINGUES;3;
MA-MAGALHAES DE ALMEIDA;173;
MA-MARACACUME;0;
MA-MARAJA DO SENA;0;
MA-MARANHAOZINHO;0;
MA-MATA ROMA;250;
MA-MATINHA;1007;
MA-MATOES;355;
MA-MATOES DO NORTE;0;
MA-MILAGRES DO MARANHAO;0;
MA-MIRADOR;13;
MA-MIRANDA DO NORTE;328;
MA-MIRINZAL;16;
MA-MONCAO;31;
MA-MONTES ALTOS;41;
MA-MORROS;194;
MA-NINA RODRIGUES;2;
MA-NOVA COLINAS;0;
MA-NOVA IORQUE;7;
MA-NOVA OLINDA DO MARANHAO;0;
MA-OLHO D AGUA DAS CUNHAS;245;
MA-OLINDA NOVA DO MARANHAO;0;
MA-PACO DO LUMIAR;2077;
MA-PALMEIRANDIA;98;
MA-PARAIBANO;331;
MA-PARNARAMA;894;
MA-PASSAGEM FRANCA;42;
MA-PASTOS BONS;234;
MA-PAULINO NEVES;0;
MA-PAULO RAMOS;46;
MA-PEDREIRAS;2113;
MA-PEDRO DO ROSARIO;0;
MA-PENALVA;38;
MA-PERI MIRIM;65;
MA-PERITORO;0;
MA-PINDARE MIRIM;160;
MA-PINHEIRO;1929;
MA-PIO XII;238;
MA-PIRAPEMAS;2;
MA-POCAO DE PEDRAS;479;
MA-PORTO FRANCO;992;
MA-PORTO RICO DO MARANHAO;0;
MA-PRESIDENTE DUTRA;433;
MA-PRESIDENTE JUSCELINO;163;
MA-PRESIDENTE MEDICI;0;
MA-PRESIDENTE SARNEY;0;
MA-PRESIDENTE VARGAS;43;
MA-PRIMEIRA CRUZ;54;
MA-RAPOSA;0;
MA-RIACHAO;27;
MA-RIBAMAR FIQUENE;0;
MA-ROSARIO;1061;
MA-SAMBAIBA;27;
MA-SANTA FILOMENA DO MARANHAO;0;
MA-SANTA HELENA;472;
MA-SANTA INES;2689;
MA-SANTA LUZIA;337;
MA-SANTA LUZIA DO PARUA;111;
MA-SANTA QUITERIA DO MARANHAO;250;
MA-SANTA RITA;63;
MA-SANTANA DO MARANHAO;0;
MA-SANTO AMARO DO MARANHAO;0;
MA-SANTO ANTONIO DOS LOPES;334;
MA-SAO BENEDITO DO RIO PRETO;861;
MA-SAO BENTO;144;
MA-SAO BERNARDO;315;
MA-SAO DOMINGOS DO AZEITAO;0;
MA-SAO DOMINGOS DO MARANHAO;301;
MA-SAO FELIX DE BALSAS;2;
MA-SAO FRANCISCO DO BREJAO;0;
MA-SAO FRANCISCO DO MARANHAO;219;
MA-SAO JOAO BATISTA;24;
MA-SAO JOAO DO CARU;0;
MA-SAO JOAO DO PARAISO;0;
MA-SAO JOAO DO SOTER;0;
MA-SAO JOAO DOS PATOS;760;
MA-SAO JOSE DE RIBAMAR;3412;
MA-SAO JOSE DOS BASILIOS;0;
MA-SAO LUIS;160250;
MA-SAO LUIS GONZAGA DO MARANHAO;456;
MA-SAO MATEUS DO MARANHAO;803;
MA-SAO PEDRO DA AGUA BRANCA;0;
MA-SAO PEDRO DOS CRENTES;0;
MA-SAO RAIMUNDO DAS MANGABEIRAS;42;
MA-SAO RAIMUNDO DO DOCA BEZERRA;0;
MA-SAO ROBERTO;0;
MA-SAO VICENTE FERRER;413;
MA-SATUBINHA;0;
MA-SENADOR ALEXANDRE COSTA;0;
MA-SENADOR LA ROCQUE;0;
MA-SERRANO DO MARANHAO;0;
MA-SITIO NOVO;24;
MA-SUCUPIRA DO NORTE;127;
MA-SUCUPIRA DO RIACHAO;0;
MA-TASSO FRAGOSO;220;
MA-TIMBIRAS;354;
MA-TIMON;3551;
MA-TRIZIDELA DO VALE;0;
