TO-SAO MIGUEL DO TOCANTINS;186;
TO-SAO SALVADOR DO TOCANTINS;308;
TO-SAO SEBASTIAO DO TOCANTINS;97;
TO-SAO VALERIO;264;
TO-SILVANOPOLIS;228;
TO-SITIO NOVO DO TOCANTINS;195;
TO-SUCUPIRA;186;
TO-TAGUATINGA;138;
TO-TAIPAS DO TOCANTINS;113;
TO-TALISMA;281;
TO-PALMAS;79343;
TO-TOCANTINIA;280;
TO-TOCANTINOPOLIS;1377;
TO-TUPIRAMA;111;
TO-TUPIRATINS;154;
TO-WANDERLANDIA;549;
TO-XAMBIOA;610;
TO-IGNORADO;0;
MA-ACAILANDIA;12028;
MA-AFONSO CUNHA;67;
MA-AGUA DOCE DO MARANHAO;13;
MA-ALCANTARA;616;
MA-ALDEIAS ALTAS;614;
MA-ALTAMIRA DO MARANHAO;136;
MA-ALTO ALEGRE DO MARANHAO;476;
MA-ALTO ALEGRE DO PINDARE;26;
MA-ALTO PARNAIBA;517;
MA-AMAPA DO MARANHAO;203;
MA-AMARANTE DO MARANHAO;100;
MA-ANAJATUBA;45;
MA-ANAPURUS;549;
MA-APICUM-ACU;1;
MA-ARAGUANA;7;
MA-ARAIOSES;120;
MA-ARAME;246;
MA-ARARI;805;
MA-AXIXA;254;
MA-BACABAL;6065;
MA-BACABEIRA;450;
MA-BACURI;16;
MA-BACURITUBA;133;
MA-BALSAS;7295;
MA-BARAO DE GRAJAU;453;
MA-BARRA DO CORDA;3392;
MA-BARREIRINHAS;1299;
MA-BELAGUA;78;
MA-BELA VISTA DO MARANHAO;6;
MA-BENEDITO LEITE;237;
MA-BEQUIMAO;551;
MA-BERNARDO DO MEARIM;83;
MA-BOA VISTA DO GURUPI;8;
MA-BOM JARDIM;936;
MA-BOM JESUS DAS SELVAS;572;
MA-BOM LUGAR;40;
MA-BREJO;878;
MA-BREJO DE AREIA;1;
MA-BURITI;202;
MA-BURITI BRAVO;217;
MA-BURITICUPU;2061;
MA-BURITIRANA;324;
MA-CACHOEIRA GRANDE;133;
MA-CAJAPIO;202;
MA-CAJARI;2;
MA-CAMPESTRE DO MARANHAO;534;
MA-CANDIDO MENDES;4;
MA-CANTANHEDE;320;
MA-CAPINZAL DO NORTE;144;
MA-CAROLINA;1340;
MA-CARUTAPERA;1096;
MA-CAXIAS;10688;
MA-CEDRAL;13;
MA-CENTRAL DO MARANHAO;98;
MA-CENTRO DO GUILHERME;3;
MA-CENTRO NOVO DO MARANHAO;325;
MA-CHAPADINHA;3890;
MA-CIDELANDIA;800;
MA-CODO;5769;
MA-COELHO NETO;3659;
MA-COLINAS;812;
MA-CONCEICAO DO LAGO-ACU;23;
MA-COROATA;2661;
MA-CURURUPU;830;
MA-DAVINOPOLIS;294;
MA-DOM PEDRO;643;
MA-DUQUE BACELAR;187;
MA-ESPERANTINOPOLIS;325;
MA-ESTREITO;1293;
MA-FEIRA NOVA DO MARANHAO;216;
MA-FERNANDO FALCAO;91;
MA-FORMOSA DA SERRA NEGRA;334;
MA-FORTALEZA DOS NOGUEIRAS;429;
MA-FORTUNA;371;
MA-GODOFREDO VIANA;63;
MA-GONCALVES DIAS;12;
MA-GOVERNADOR ARCHER;200;
MA-GOVERNADOR EDISON LOBAO;494;
MA-GOVERNADOR EUGENIO BARROS;382;
MA-GOVERNADOR LUIZ ROCHA;48;
MA-GOVERNADOR NEWTON BELLO;11;
MA-GOVERNADOR NUNES FREIRE;77;
MA-GRACA ARANHA;40;
MA-GRAJAU;2116;
MA-GUIMARAES;138;
MA-HUMBERTO DE CAMPOS;187;
MA-ICATU;369;
MA-IGARAPE DO MEIO;45;
MA-IGARAPE GRANDE;372;
MA-IMPERATRIZ;27678;
MA-ITAIPAVA DO GRAJAU;117;
MA-ITAPECURU MIRIM;3529;
MA-ITINGA DO MARANHAO;1652;
MA-JATOBA;112;
MA-JENIPAPO DOS VIEIRAS;171;
MA-JOAO LISBOA;1094;
MA-JOSELANDIA;291;
MA-JUNCO DO MARANHAO;1;
MA-LAGO DA PEDRA;749;
MA-LAGO DO JUNCO;232;
MA-LAGO VERDE;31;
MA-LAGOA DO MATO;96;
MA-LAGO DOS RODRIGUES;235;
MA-LAGOA GRANDE DO MARANHAO;119;
MA-LAJEADO NOVO;85;
MA-LIMA CAMPOS;369;
MA-LORETO;352;
MA-LUIS DOMINGUES;186;
MA-MAGALHAES DE ALMEIDA;421;
MA-MARACACUME;67;
MA-MARAJA DO SENA;99;
MA-MARANHAOZINHO;105;
MA-MATA ROMA;520;
MA-MATINHA;103;
MA-MATOES;663;
MA-MATOES DO NORTE;88;
MA-MILAGRES DO MARANHAO;113;
MA-MIRADOR;749;
MA-MIRANDA DO NORTE;392;
MA-MIRINZAL;182;
MA-MONCAO;3;
MA-MONTES ALTOS;433;
MA-MORROS;248;
MA-NINA RODRIGUES;2;
MA-NOVA COLINAS;219;
MA-NOVA IORQUE;95;
MA-NOVA OLINDA DO MARANHAO;18;
MA-OLHO D AGUA DAS CUNHAS;368;
MA-OLINDA NOVA DO MARANHAO;242;
MA-PACO DO LUMIAR;2856;
MA-PALMEIRANDIA;244;
MA-PARAIBANO;506;
MA-PARNARAMA;1328;
MA-PASSAGEM FRANCA;258;
MA-PASTOS BONS;290;
MA-PAULINO NEVES;37;
MA-PAULO RAMOS;32;
MA-PEDREIRAS;3613;
MA-PEDRO DO ROSARIO;4;
MA-PENALVA;563;
MA-PERI MIRIM;7;
MA-PERITORO;101;
MA-PINDARE-MIRIM;1309;
MA-PINHEIRO;4107;
MA-PIO XII;767;
MA-PIRAPEMAS;13;
MA-POCAO DE PEDRAS;799;
MA-PORTO FRANCO;1040;
MA-PORTO RICO DO MARANHAO;2;
MA-PRESIDENTE DUTRA;3086;
MA-PRESIDENTE JUSCELINO;294;
MA-PRESIDENTE MEDICI;3;
MA-PRESIDENTE SARNEY;310;
MA-PRESIDENTE VARGAS;12;
MA-PRIMEIRA CRUZ;171;
MA-RAPOSA;340;
MA-RIACHAO;908;
MA-RIBAMAR FIQUENE;328;
MA-ROSARIO;2428;
MA-SAMBAIBA;297;
MA-SANTA FILOMENA DO MARANHAO;9;
MA-SANTA HELENA;1047;
MA-SANTA INES;6582;
MA-SANTA LUZIA;1342;
MA-SANTA LUZIA DO PARUA;67;
MA-SANTA QUITERIA DO MARANHAO;209;
MA-SANTA RITA;611;
MA-SANTANA DO MARANHAO;104;
MA-SANTO AMARO DO MARANHAO;245;
MA-SANTO ANTONIO DOS LOPES;468;
MA-SAO BENEDITO DO RIO PRETO;95;
MA-SAO BENTO;352;
MA-SAO BERNARDO;799;
MA-SAO DOMINGOS DO AZEITAO;235;
MA-SAO DOMINGOS DO MARANHAO;160;
MA-SAO FELIX DE BALSAS;77;
MA-SAO FRANCISCO DO BREJAO;222;
MA-SAO FRANCISCO DO MARANHAO;233;
MA-SAO JOAO BATISTA;9;
MA-SAO JOAO DO CARU;4;
MA-SAO JOAO DO PARAISO;298;
MA-SAO JOAO DO SOTER;185;
MA-SAO JOAO DOS PATOS;2589;
MA-SAO JOSE DE RIBAMAR;5548;
MA-SAO JOSE DOS BASILIOS;128;
MA-SAO LUIS;169947;
MA-SAO LUIS GONZAGA DO MARANHAO;635;
