cbo2002;ncognitivo;nsocial;nmotor;nmed
613110;0,517037272;0,533247828;0,35320875;0,502989732
613115;0,517037272;0,533247828;0,35320875;0,502989732
613120;0,517037272;0,533247828;0,35320875;0,502989732
613125;0,517037272;0,533247828;0,35320875;0,502989732
613130;0,517037272;0,533247828;0,35320875;0,502989732
613205;0,517037272;0,533247828;0,35320875;0,502989732
613210;0,517037272;0,533247828;0,35320875;0,502989732
613215;0,517037272;0,533247828;0,35320875;0,502989732
613305;0,517037272;0,533247828;0,35320875;0,502989732
613310;0,517037272;0,533247828;0,35320875;0,502989732
613405;0,517037272;0,533247828;0,35320875;0,502989732
613410;0,517037272;0,533247828;0,35320875;0,502989732
613415;0,517037272;0,533247828;0,35320875;0,502989732
613420;0,517037272;0,533247828;0,35320875;0,502989732
223123;0,809444427;0,533240259;0,122098908;0,636001838
225315;0,809444427;0,533240259;0,122098908;0,636001838
225270;0,865998387;0,533224046;0,410916835;0,701298057
223154;0,798098266;0,533147037;0,20547767;0,639639227
225330;0,798098266;0,533147037;0,20547767;0,639639227
261710;0,623138487;0,532852709;0,087059066;0,529492415
517210;0,422796279;0,531494796;0,555067658;0,474651112
271110;0,46740067;0,530566514;0,397409022;0,480107946
513615;0,46740067;0,530566514;0,397409022;0,480107946
142325;0,542678714;0,529898643;0,013202583;0,475599028
253105;0,542678714;0,529898643;0,013202583;0,475599028
253115;0,542678714;0,529898643;0,013202583;0,475599028
261110;0,542678714;0,529898643;0,013202583;0,475599028
420120;0,439976931;0,528165281;0,067853652;0,425156804
111410;0,473485291;0,527867079;0,116924927;0,449265883
111415;0,473485291;0,527867079;0,116924927;0,449265883
111505;0,473485291;0,527867079;0,116924927;0,449265883
111510;0,473485291;0,527867079;0,116924927;0,449265883
123105;0,473485291;0,527867079;0,116924927;0,449265883
142105;0,473485291;0,527867079;0,116924927;0,449265883
515325;0,461408466;0,527814209;0,222978592;0,455206426
517320;0,483803123;0,527483344;0,389960587;0,48719819
214130;0,638326049;0,52553463;0,032976899;0,52897368
322215;0,578385353;0,524016082;0,454297155;0,545574562
142110;0,68549943;0,5239923;0,012539108;0,551918602
511210;0,439481407;0,523871779;0,083336599;0,425293882
510305;0,494449675;0,523599923;0,388016254;0,491517191
123210;0,509779751;0,52275151;0;0,453603794
371205;0,655590057;0,522273183;0,240485713;0,561984436
223276;0,686570346;0,520259917;0,426073164;0,600335061
223288;0,686570346;0,520259917;0,426073164;0,600335061
223293;0,686570346;0,520259917;0,426073164;0,600335061
223132;0,793786883;0,520014405;0,336705923;0,648476696
225250;0,793786883;0,520014405;0,336705923;0,648476696
234730;0,750669241;0,519118726;0,016531849;0,586528629
223105;0,888625979;0,518946886;0,532577455;0,723400401
223108;0,888625979;0,518946886;0,532577455;0,723400401
223109;0,888625979;0,518946886;0,532577455;0,723400401
223110;0,888625979;0,518946886;0,532577455;0,723400401
223111;0,888625979;0,518946886;0,532577455;0,723400401
223112;0,888625979;0,518946886;0,532577455;0,723400401
223113;0,888625979;0,518946886;0,532577455;0,723400401
223119;0,888625979;0,518946886;0,532577455;0,723400401
223120;0,888625979;0,518946886;0,532577455;0,723400401
223121;0,888625979;0,518946886;0,532577455;0,723400401
223122;0,888625979;0,518946886;0,532577455;0,723400401
223138;0,888625979;0,518946886;0,532577455;0,723400401
225145;0,888625979;0,518946886;0,532577455;0,723400401
225150;0,888625979;0,518946886;0,532577455;0,723400401
225203;0,888625979;0,518946886;0,532577455;0,723400401
225210;0,888625979;0,518946886;0,532577455;0,723400401
225215;0,888625979;0,518946886;0,532577455;0,723400401
225220;0,888625979;0,518946886;0,532577455;0,723400401
225225;0,888625979;0,518946886;0,532577455;0,723400401
225230;0,888625979;0,518946886;0,532577455;0,723400401
225235;0,888625979;0,518946886;0,532577455;0,723400401
225240;0,888625979;0,518946886;0,532577455;0,723400401
225255;0,888625979;0,518946886;0,532577455;0,723400401
225260;0,888625979;0,518946886;0,532577455;0,723400401
225290;0,888625979;0,518946886;0,532577455;0,723400401
225295;0,888625979;0,518946886;0,532577455;0,723400401
223129;0,77900511;0,518512368;0,131776333;0,615549343
225170;0,77900511;0,518512368;0,131776333;0,615549343
322250;0,682801604;0,518304706;0,270065784;0,579104775
351605;0,605018079;0,517633379;0,192235261;0,526967601
